"totalQtyOwned","name","printNumber","finish","variant","expansion","game","condition","language","price","riotId"
"3","Meditation","048","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"3","Legion Rearguard","010","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"1","Riptide Rex","092","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.17",""
"1","Solari Shieldbearer","051","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.08",""
"2","Soaring Scout","216","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"1","Confront","129","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
"3","Sneaky Deckhand","176","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.25",""
"1","Thermo Beam","022","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.60",""
"2","Cithria of Cloudfield","139","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.13",""
"1","Captain Farron","015","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
"3","Forge of the Future","212","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.09",""
"3","Tideturner","199","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","1.23",""
"1","Volibear - Furious (alt)","041a","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","5.28",""
"1","Playful Phantom","049","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"4","Brazen Buccaneer","002","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"2","Watchful Sentry","096","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.17",""
"2","Faithful Manufactor","211","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.17",""
"1","Arena Bar","124","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.10",""
"4","Ride the Wind","173","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.57",""
"1","Petty Officer","215","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.03",""
"2","Vilemaw's Lair","295","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.30",""
"1","Facebreaker","220","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.26",""
"3","Sun Disc","021","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.26",""
"1","Cruel Patron","208","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.08",""
"1","Kraken Hunter","150","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.28",""
"4","Dr. Mundo - Expert","109","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","1.16",""
"1","Eager Apprentice","084","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Clockwork Keeper","044","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.13",""
"2","Disintegrate","005","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Cemetery Attendant","165","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"1","Vanguard Sergeant","219","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"1","Trifarian War Camp","294","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.23",""
"1","Adaptatron","056","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.42",""
"1","Eclipse Herald","059","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
"1","Lee Sin - Blind Monk","257","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.25",""
"1","Overt Operation","153","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.26",""
"1","Seal of Unity","245","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","37.23",""
"1","Sett - The Boss","269","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.34",""
"1","Stand United","053","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.07",""
"8","Pouty Poro","013","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.16",""
"2","Falling Comet","085","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.15",""
